,City,State,Location,Population,ViolentCrime,PoliceViolence
Tulsa Police Department,Tulsa,OK,"[36.1556805, -95.9929112]",394498,3827,1
Tyler Police Department,Tyler,TX,"[32.3512601, -95.3010623]",100033,376,0
Vancouver Police Department,Vancouver,WA,"[45.6306954, -122.6744556]",166535,593,0
Ventura Police Department,Ventura,CA,"[34.364744, -119.310582204204]",108204,262,0
Virginia Beach Police Department,Virginia Beach,VA,"[36.8529841, -75.9774182]",450687,730,1
Waco Police Department,Waco,TX,"[31.549333, -97.1466694]",127570,515,0
Warren Police Department,Warren,MI,"[42.4775364, -83.0277]",134167,679,1
Waterbury Police Department,Waterbury,CT,"[41.5581525, -73.0514965]",109763,410,0
West Covina Police Department,West Covina,CA,"[34.0686208, -117.9389525]",107867,231,0
West Palm Beach Police Department,West Palm Beach,FL,"[26.7153425, -80.0533745]",102510,701,1
West Valley Police Department,West Valley,UT,"[40.5720699, -111.916097]",133373,703,0
Wichita Falls Police Department,Wichita Falls,TX,"[33.9137085, -98.4933872]",104514,401,0
Wichita Police Department,Wichita,KS,"[37.6922361, -97.3375447]",386486,3065,2
Wilmington Police Department,Wilmington,NC,"[34.2257282, -77.9447106]",110985,687,3
Winston-Salem Police Department,Winston-Salem,NC,"[36.0998131, -80.2440517]",235811,1426,0
Woodbridge Township Police Department,Woodbridge Township,NJ,"[40.5498525, -74.2874184506135]",100568,135,0
Yonkers Police Department,Yonkers,NY,"[40.9312099, -73.8987468]",199134,1036,0
