City,State,Population,ViolentCrime
Pasadena,CA,139003,434
Paso Robles,CA,30795,103
Patterson,CA,20733,41
Perris,CA,72171,241
Petaluma,CA,59224,179
Pico Rivera,CA,63710,207
Piedmont,CA,10963,20
Pinole,CA,18848,69
Pismo Beach,CA,7824,22
Pittsburg,CA,66387,185
Placentia,CA,52002,66
Placerville,CA,10339,63
Pleasant Hill,CA,34044,55
Pleasanton,CA,72975,60
Pomona,CA,151366,809
Porterville,CA,55267,194
Port Hueneme,CA,21910,57
Poway,CA,49444,90
Rancho Cordova,CA,67634,352
Rancho Cucamonga,CA,172262,331
Rancho Mirage,CA,17816,26
Rancho Palos Verdes,CA,42542,30
Rancho Santa Margarita,CA,49190,17
Red Bluff,CA,14170,146
Redding,CA,91035,585
Redlands,CA,70282,215
Redondo Beach,CA,67993,160
Redwood City,CA,79707,190
Reedley,CA,25018,157
Rialto,CA,102520,434
Richmond,CA,107341,1112
Ridgecrest,CA,28537,154
Rio Dell,CA,3368,11
Rio Vista,CA,7622,32
Ripon,CA,14802,15
Riverbank,CA,23474,37
Riverside,CA,316423,1330
Rocklin,CA,59621,62
Rohnert Park,CA,41326,180
Rolling Hills,CA,1894,0
Rolling Hills Estates,CA,8229,3
Rosemead,CA,54587,149
Roseville,CA,126236,261
Ross,CA,2447,1
Sacramento,CA,478182,3137
Salinas,CA,155742,1001
San Bernardino,CA,214322,1949
San Bruno,CA,42495,102
San Clemente,CA,65295,56
Sand City,CA,344,3
San Diego,CA,1349306,5303
San Dimas,CA,33854,65
San Fernando,CA,23955,85
San Francisco,CA,833863,7064
San Gabriel,CA,40287,103
Sanger,CA,24649,146
San Jacinto,CA,45714,124
San Jose,CA,992143,3215
San Juan Capistrano,CA,35585,57
San Leandro,CA,87490,394
San Luis Obispo,CA,46095,161
San Marcos,CA,87712,214
San Marino,CA,13308,20
San Mateo,CA,100440,239
San Pablo,CA,29893,200
San Rafael,CA,58725,206
San Ramon,CA,74434,27
Santa Ana,CA,332848,1121
Santa Barbara,CA,90006,362
Santa Clara,CA,120150,172
Santa Clarita,CA,204951,276
Santa Cruz,CA,62517,407
