,City,State,Location,Population,ViolentCrime,PoliceViolence,R
Philadelphia Police Department,Philadelphia,PA,"[39.9523993, -75.1635898]",1553153,17074,12,-0.045778096715545669
Phoenix Police Department,Phoenix,AZ,"[33.4485866, -112.0773455]",1502139,9492,18,-0.077037944642538214
Plano Police Department,Plano,TX,"[33.0136764, -96.6925095]",275795,389,0,-0.10330032552659407
Pomona Police Department,Pomona,CA,"[34.0553813, -117.7517495]",151366,809,0,0.13648906633972868
Port St. Lucie Police Department,Port St. Lucie,FL,"[27.2939333, -80.3503282]",169877,303,0,-0.034341495234973866
Providence Police Department,Providence,RI,"[41.8239891, -71.4128342]",178887,1115,0,-0.15514355658135034
Provo Police Department,Provo,UT,"[40.2338438, -111.6585336]",116937,160,0,-0.098556102436704637
Pueblo Police Department,Pueblo,CO,"[38.2544472, -104.6091409]",108062,1011,1,-0.055168182662645115
Raleigh Police Department,Raleigh,NC,"[35.7803977, -78.6390988]",428993,1683,1,-0.090011698628180703
Ramapo Police Department,Ramapo,NY,,87204,57,0,
Rialto Police Department,Rialto,CA,"[34.1064001, -117.3703234]",102520,434,0,0.2008446954624683
Richardson Police Department,Richardson,TX,"[32.9481789, -96.7297205]",104577,128,0,-0.096250479519483179
Richmond Police Department,Richmond,CA,,212830,1327,0,"Richmond Police Department   -0.106500
Richmond Police Department   -0.067269
dtype: float64"
Richmond Police Department,Richmond,VA,,212830,1327,0,"Richmond Police Department   -0.106500
Richmond Police Department   -0.067269
dtype: float64"
Riverside Police Department,Riverside,CA,"[33.9533546, -117.3961622]",316423,1330,5,-0.11915854057256392
Rochester Police Department,Rochester,NY,,109675,214,1,"Rochester Police Department   -0.117207
Rochester Police Department   -0.040146
dtype: float64"
Rochester Police Department,Rochester,MN,,109675,214,1,"Rochester Police Department   -0.117207
Rochester Police Department   -0.040146
dtype: float64"
Rockford Police Department,Rockford,IL,"[42.2713945, -89.0939659]",150209,2065,0,-0.07423926637428413
Round Rock Police Department,Round Rock,TX,"[30.508235, -97.6788933]",108577,149,2,-0.10343810543847363
Sacramento Police Department,Sacramento,CA,"[38.5815719, -121.4943995]",478182,3137,2,-0.12914007287293705
Salem Police Department,Salem,OR,"[44.9391565, -123.0331209]",158234,520,0,-0.09090931748699238
Salinas Police Department,Salinas,CA,"[36.6744117, -121.6550371]",155742,1001,1,0.20578506972748481
Salt Lake Police Department,Salt Lake,UT,,190246,1475,0,
San Antonio Police Department,San Antonio,TX,"[29.4246002, -98.4951404]",1399725,8828,7,-0.030439921429658682
San Bernardino Police Department,San Bernardino,CA,"[34.1083449, -117.2897651]",214322,1949,0,-0.14967065886559139
San Diego Police Department,San Diego,CA,"[32.7174209, -117.1627713]",1349306,5303,6,-0.052051976062091672
San Francisco Police Department,San Francisco,CA,"[37.7792808, -122.4192362]",833863,7064,1,-0.027398571879154732
San Jose Police Department,San Jose,CA,"[37.3361905, -121.8905832]",992143,3215,3,-0.16262681926055134
Sandy Springs Police Department,Sandy Springs,GA,"[33.9242688, -84.3785378]",101180,186,0,-0.048203804215833916
Santa Ana Police Department,Santa Ana,CA,"[33.7494951, -117.8732212]",332848,1121,6,0.14131876920048916
Santa Clara Police Department,Santa Clara,CA,"[37.3541132, -121.9551743]",120150,172,0,-0.13760167518974331
Santa Maria Police Department,Santa Maria,CA,"[34.9531295, -120.4358576]",102051,490,1,0.10883262019779603
Scottsdale Police Department,Scottsdale,AZ,"[33.5091215, -111.8992364]",225523,337,1,-0.012656920104056056
